Gender,Race_Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation,Maths_Score,Reading_Score,Writing_Score
Female,Group B,master's degree,Free/Reduced,Completed,50,14,52
Female,Group C,associate's degree,Free/Reduced,Completed,51,52,26
Female,Group D,master's degree,Standard,Completed,23,98,22
Female,Group E,high school,Standard,None,78,78,97
Male,Group C,master's degree,Free/Reduced,None,6,38,93
Female,Group A,high school,Standard,Completed,72,42,62
Female,Group C,associate's degree,Free/Reduced,None,44,42,19
Female,Group C,some high school,Standard,None,16,67,61
Female,Group A,master's degree,Free/Reduced,Completed,54,75,41
Male,Group B,associate's degree,Standard,None,68,57,73
Female,Group D,some high school,Standard,Completed,49,81,45
Male,Group C,some college,Free/Reduced,None,2,78,23
Male,Group B,associate's degree,Standard,Completed,57,92,23
Male,Group B,high school,Free/Reduced,Completed,35,53,25
Female,Group A,some college,Standard,None,76,67,11
Female,Group C,bachelor's degree,Standard,None,90,5,84
Female,Group A,bachelor's degree,Standard,Completed,32,3,56
Female,Group B,associate's degree,Free/Reduced,None,21,18,86
Female,Group D,associate's degree,Standard,None,71,49,13
Female,Group B,some high school,Free/Reduced,None,20,45,47
Female,Group C,high school,Free/Reduced,Completed,76,9,77
Female,Group A,some college,Standard,Completed,74,21,12
Male,Group A,some high school,Free/Reduced,None,75,53,58
Female,Group B,high school,Free/Reduced,Completed,77,41,38
Female,Group A,some college,Standard,None,75,37,91
Female,Group C,some college,Free/Reduced,Completed,97,74,64
Male,Group B,some high school,Free/Reduced,None,61,3,93
Female,Group D,some college,Standard,Completed,34,31,94
Female,Group B,high school,Standard,Completed,8,72,42
Female,Group A,some college,Standard,None,46,22,96
Female,Group A,bachelor's degree,Standard,None,98,43,83
Female,Group D,master's degree,Free/Reduced,None,39,60,2
Male,Group A,some college,Standard,None,77,23,89
Male,Group C,master's degree,Free/Reduced,Completed,70,11,82
Male,Group B,some high school,Free/Reduced,Completed,5,80,78
Female,Group C,bachelor's degree,Free/Reduced,None,2,88,19
Female,Group C,master's degree,Free/Reduced,Completed,44,47,41
Male,Group C,bachelor's degree,Free/Reduced,Completed,26,76,12
Female,Group B,high school,Free/Reduced,None,55,66,82
Male,Group A,some college,Standard,Completed,54,51,88
Male,Group E,master's degree,Free/Reduced,Completed,8,11,13
Male,Group D,associate's degree,Free/Reduced,None,66,68,7
Male,Group A,some high school,Free/Reduced,None,66,48,27
Female,Group C,high school,Free/Reduced,Completed,60,10,75
Female,Group D,some high school,Free/Reduced,Completed,20,29,28
Male,Group C,some college,Standard,None,18,96,63
Female,Group A,associate's degree,Free/Reduced,None,32,88,9
Male,Group A,associate's degree,Standard,Completed,6,85,86
Male,Group A,master's degree,Standard,Completed,8,96,21
Female,Group E,associate's degree,Standard,None,68,39,88
Male,Group B,some high school,Standard,None,69,43,12
Male,Group B,high school,Free/Reduced,None,66,21,57
Female,Group D,master's degree,Standard,Completed,80,51,95
Female,Group C,master's degree,Standard,None,64,84,23
Female,Group E,bachelor's degree,Free/Reduced,Completed,9,51,78
Female,Group A,some high school,Standard,None,93,46,95
Female,Group C,master's degree,Free/Reduced,Completed,30,50,93
Male,Group C,bachelor's degree,Free/Reduced,None,78,45,29
Female,Group C,some college,Free/Reduced,None,39,70,72
Male,Group B,associate's degree,Free/Reduced,None,88,47,16
Male,Group D,high school,Free/Reduced,Completed,52,88,69
Male,Group D,bachelor's degree,Free/Reduced,None,21,75,69
Male,Group B,some college,Free/Reduced,None,26,9,53
Female,Group A,bachelor's degree,Standard,None,29,44,30
Male,Group E,master's degree,Free/Reduced,Completed,24,26,93
Female,Group A,bachelor's degree,Standard,Completed,35,98,10
Female,Group C,some high school,Standard,None,5,39,91
Male,Group E,some high school,Free/Reduced,None,38,51,66
Male,Group C,some college,Free/Reduced,None,23,1,58
Female,Group E,master's degree,Free/Reduced,None,2,25,59
Female,Group A,some college,Free/Reduced,Completed,84,99,16
Male,Group D,some high school,Free/Reduced,Completed,18,23,18
Male,Group C,high school,Standard,Completed,42,17,67
Female,Group B,some high school,Free/Reduced,None,57,21,93
Female,Group D,high school,Free/Reduced,None,97,98,46
Male,Group E,associate's degree,Free/Reduced,None,19,0,21
Female,Group B,bachelor's degree,Free/Reduced,None,72,23,51
Female,Group B,associate's degree,Standard,None,52,16,60
Female,Group C,bachelor's degree,Free/Reduced,Completed,71,54,100
Male,Group B,some college,Standard,Completed,21,27,49
Female,Group C,some college,Standard,None,10,34,38
Male,Group E,some high school,Standard,None,3,71,22
Male,Group C,high school,Free/Reduced,None,21,69,34
Female,Group C,high school,Free/Reduced,None,84,13,25
Male,Group A,master's degree,Standard,None,92,70,67
Female,Group A,some high school,Free/Reduced,Completed,83,42,46
Male,Group D,associate's degree,Free/Reduced,None,11,73,63
Female,Group C,bachelor's degree,Free/Reduced,Completed,5,56,47
Male,Group B,bachelor's degree,Standard,Completed,8,26,65
Female,Group B,bachelor's degree,Free/Reduced,Completed,52,74,18
Male,Group B,some college,Standard,None,58,38,67
Female,Group B,bachelor's degree,Standard,None,75,56,66
Female,Group B,master's degree,Standard,None,19,55,41
Female,Group A,master's degree,Free/Reduced,None,97,49,87
Male,Group A,associate's degree,Free/Reduced,Completed,10,8,29
Female,Group A,some high school,Standard,Completed,75,26,99
Female,Group A,associate's degree,Free/Reduced,Completed,7,94,25
Male,Group C,bachelor's degree,Standard,Completed,80,58,25
Female,Group D,master's degree,Free/Reduced,Completed,52,61,65
Female,Group E,high school,Free/Reduced,None,46,52,89
Female,Group A,bachelor's degree,Free/Reduced,Completed,42,10,52
Male,Group B,some college,Standard,Completed,91,59,80
Male,Group D,some high school,Free/Reduced,Completed,86,2,43
Male,Group A,master's degree,Standard,None,45,70,27
Female,Group C,bachelor's degree,Free/Reduced,Completed,57,8,70
Male,Group D,some high school,Standard,None,30,99,64
Male,Group C,master's degree,Standard,Completed,52,13,81
Male,Group C,master's degree,Free/Reduced,None,36,45,74
Female,Group C,some high school,Standard,None,36,38,70
Female,Group E,master's degree,Free/Reduced,Completed,43,43,70
Male,Group C,some college,Free/Reduced,None,88,7,63
Male,Group A,master's degree,Standard,Completed,22,36,32
Female,Group D,some high school,Free/Reduced,None,84,13,12
Female,Group A,bachelor's degree,Free/Reduced,None,17,35,70
Male,Group C,bachelor's degree,Standard,Completed,8,13,80
Female,Group C,some high school,Standard,Completed,4,90,49
Male,Group B,bachelor's degree,Standard,None,51,41,20
Female,Group B,some high school,Standard,Completed,16,85,41
Female,Group C,some college,Standard,Completed,1,35,64
Male,Group E,associate's degree,Standard,None,63,98,38
Male,Group D,associate's degree,Free/Reduced,None,68,61,5
Male,Group D,bachelor's degree,Standard,None,17,67,26
Male,Group B,some college,Free/Reduced,Completed,57,56,86
Male,Group C,master's degree,Standard,Completed,99,50,70
Male,Group C,bachelor's degree,Free/Reduced,None,2,61,11
Male,Group D,associate's degree,Free/Reduced,None,66,2,25
Male,Group B,some high school,Standard,Completed,60,69,25
Male,Group E,master's degree,Standard,None,49,30,39
Male,Group A,some high school,Standard,None,37,17,28
Female,Group A,some high school,Free/Reduced,None,84,62,7
Female,Group E,master's degree,Standard,None,24,12,51
Male,Group D,high school,Free/Reduced,None,94,88,72
Male,Group A,some college,Free/Reduced,None,4,42,15
Female,Group E,bachelor's degree,Free/Reduced,None,87,73,9
Male,Group B,associate's degree,Free/Reduced,Completed,50,71,84
Female,Group D,some high school,Standard,Completed,22,7,78
Female,Group B,high school,Standard,None,33,32,46
Male,Group C,bachelor's degree,Free/Reduced,None,87,82,59
Male,Group C,some college,Standard,None,39,72,51
Male,Group B,some high school,Free/Reduced,Completed,96,59,40
Male,Group E,some college,Standard,Completed,54,54,82
Male,Group E,associate's degree,Free/Reduced,Completed,3,40,43
Female,Group D,bachelor's degree,Free/Reduced,Completed,44,68,46
Female,Group A,bachelor's degree,Free/Reduced,None,64,44,100
Female,Group A,some high school,Free/Reduced,Completed,27,65,75
Male,Group C,high school,Free/Reduced,None,18,15,97
Female,Group A,high school,Free/Reduced,Completed,65,95,2
Female,Group C,bachelor's degree,Free/Reduced,None,87,20,4
Male,Group D,some high school,Standard,Completed,22,39,1
Male,Group A,some college,Free/Reduced,None,41,94,9
Male,Group E,some high school,Free/Reduced,Completed,86,72,27
Male,Group C,bachelor's degree,Free/Reduced,Completed,63,11,10
Female,Group C,master's degree,Free/Reduced,None,46,2,42
Female,Group B,high school,Standard,Completed,33,3,92
Male,Group D,high school,Free/Reduced,None,67,65,85
Female,Group E,high school,Free/Reduced,Completed,40,8,36
Female,Group C,bachelor's degree,Free/Reduced,Completed,19,18,1
Female,Group E,some college,Free/Reduced,None,82,51,74
Male,Group B,some college,Standard,None,97,74,68
Female,Group D,master's degree,Free/Reduced,None,9,53,56
Female,Group B,associate's degree,Free/Reduced,Completed,59,7,8
Female,Group C,master's degree,Free/Reduced,None,9,94,85
Female,Group B,some high school,Free/Reduced,None,100,33,72
Female,Group B,bachelor's degree,Standard,Completed,67,88,77
Female,Group D,master's degree,Standard,None,38,26,42
Male,Group D,associate's degree,Standard,None,17,87,96
Male,Group C,some college,Standard,Completed,91,14,3
Male,Group E,some college,Free/Reduced,None,62,59,94
Female,Group A,associate's degree,Free/Reduced,Completed,55,41,68
Female,Group B,some high school,Free/Reduced,Completed,75,48,14
Male,Group C,master's degree,Standard,None,89,49,12
Male,Group D,some high school,Standard,Completed,18,33,56
Male,Group D,some high school,Free/Reduced,None,83,1,5
Female,Group E,some college,Free/Reduced,Completed,30,35,30
Female,Group A,master's degree,Standard,None,60,8,22
Male,Group B,high school,Standard,None,12,57,58
Male,Group E,master's degree,Standard,Completed,19,63,10
Female,Group E,bachelor's degree,Free/Reduced,Completed,60,56,91
Male,Group A,some high school,Standard,None,59,99,89
Male,Group B,bachelor's degree,Free/Reduced,None,49,73,16
Female,Group B,some college,Free/Reduced,Completed,8,10,98
Female,Group D,high school,Free/Reduced,None,32,40,58
Female,Group B,master's degree,Free/Reduced,Completed,95,6,5
Female,Group A,master's degree,Free/Reduced,Completed,19,29,81
Female,Group A,some high school,Free/Reduced,None,41,62,14
Male,Group E,bachelor's degree,Standard,Completed,98,81,87
Male,Group B,high school,Free/Reduced,None,42,5,25
Male,Group A,associate's degree,Free/Reduced,Completed,98,64,38
Female,Group B,some high school,Standard,Completed,10,91,82
Female,Group A,master's degree,Free/Reduced,None,12,21,63
Female,Group D,master's degree,Standard,Completed,65,78,20
Male,Group A,bachelor's degree,Standard,Completed,5,26,48
Female,Group E,associate's degree,Standard,Completed,98,80,23
Female,Group B,some college,Standard,None,69,15,53
Female,Group C,high school,Free/Reduced,None,78,78,63
Female,Group A,master's degree,Standard,Completed,43,79,73
Female,Group E,some high school,Standard,None,77,73,30
Male,Group C,bachelor's degree,Standard,None,10,55,100
Female,Group B,associate's degree,Free/Reduced,None,8,79,1
Male,Group C,associate's degree,Standard,None,83,15,9
Female,Group B,some college,Free/Reduced,Completed,90,68,28
Male,Group B,some college,Free/Reduced,Completed,99,72,35
Male,Group D,some high school,Standard,Completed,48,22,69
Female,Group D,associate's degree,Free/Reduced,None,26,78,78
Female,Group C,master's degree,Standard,Completed,87,29,78
Female,Group A,master's degree,Standard,None,1,82,34
Male,Group B,some high school,Standard,Completed,87,99,38
Female,Group A,high school,Free/Reduced,None,84,83,56
Male,Group A,associate's degree,Standard,None,3,71,20
Male,Group A,master's degree,Standard,None,65,69,15
Female,Group B,bachelor's degree,Free/Reduced,None,81,23,2
Female,Group B,associate's degree,Free/Reduced,None,20,29,73
Female,Group C,some college,Standard,None,64,43,42
Male,Group D,some college,Free/Reduced,Completed,47,85,88
Male,Group A,master's degree,Free/Reduced,None,58,81,29
Female,Group E,bachelor's degree,Standard,Completed,41,51,53
Male,Group E,bachelor's degree,Free/Reduced,Completed,15,37,59
Female,Group D,some high school,Free/Reduced,None,5,12,5
Female,Group D,bachelor's degree,Free/Reduced,None,60,71,12
Male,Group B,high school,Standard,None,64,78,85
Female,Group A,high school,Standard,Completed,76,46,51
Male,Group B,high school,Free/Reduced,Completed,69,45,56
Male,Group A,master's degree,Standard,Completed,57,80,37
Male,Group D,some high school,Free/Reduced,None,33,1,38
Female,Group D,associate's degree,Free/Reduced,None,4,5,83
Male,Group A,some college,Free/Reduced,Completed,11,14,10
Female,Group D,associate's degree,Free/Reduced,None,75,16,58
Male,Group E,master's degree,Free/Reduced,None,45,82,53
Female,Group D,bachelor's degree,Standard,Completed,86,81,80
Male,Group B,some college,Free/Reduced,None,13,9,29
Male,Group C,master's degree,Standard,Completed,48,32,82
Female,Group A,associate's degree,Standard,Completed,13,33,3
Male,Group E,high school,Standard,None,33,0,10
Female,Group C,master's degree,Standard,Completed,86,9,86
Male,Group B,high school,Standard,None,6,15,88
Male,Group E,bachelor's degree,Standard,None,69,32,82
Female,Group A,associate's degree,Free/Reduced,Completed,20,13,39
Female,Group B,high school,Free/Reduced,None,40,63,93
Female,Group A,some high school,Free/Reduced,Completed,92,40,85
Female,Group B,high school,Free/Reduced,Completed,82,92,30
Male,Group C,high school,Free/Reduced,Completed,33,53,38
Female,Group C,some college,Free/Reduced,Completed,91,60,40
Male,Group D,some college,Standard,Completed,100,57,82
Female,Group C,associate's degree,Free/Reduced,None,76,28,38
Female,Group A,associate's degree,Free/Reduced,None,78,73,11
Male,Group C,master's degree,Standard,Completed,61,49,73
Female,Group C,associate's degree,Free/Reduced,None,53,61,44
Female,Group B,some college,Standard,None,34,65,9
Male,Group D,bachelor's degree,Standard,Completed,44,58,75
Male,Group C,master's degree,Free/Reduced,None,79,54,34
Male,Group C,associate's degree,Free/Reduced,Completed,25,41,36
Female,Group D,master's degree,Standard,Completed,21,95,71
Male,Group D,high school,Standard,None,87,98,56
Female,Group C,bachelor's degree,Standard,None,83,92,100
Female,Group A,some high school,Standard,None,8,86,92
Male,Group B,master's degree,Free/Reduced,Completed,81,80,19
Male,Group E,some high school,Standard,Completed,43,23,66
Male,Group A,associate's degree,Standard,None,97,94,46
Female,Group C,bachelor's degree,Standard,Completed,93,58,50
Male,Group B,some high school,Free/Reduced,None,6,96,2
Male,Group E,bachelor's degree,Free/Reduced,None,49,23,54
Male,Group C,master's degree,Standard,Completed,25,80,83
Female,Group D,associate's degree,Standard,Completed,53,74,99
Male,Group C,some high school,Standard,Completed,68,9,71
Male,Group C,bachelor's degree,Standard,None,90,72,0
Female,Group C,associate's degree,Standard,None,52,72,67
Male,Group B,associate's degree,Free/Reduced,None,37,6,62
Female,Group C,master's degree,Standard,None,24,40,66
Female,Group C,bachelor's degree,Standard,None,93,74,17
Female,Group B,master's degree,Standard,Completed,83,34,99
Male,Group A,high school,Free/Reduced,Completed,14,9,41
Male,Group B,some college,Free/Reduced,Completed,73,87,25
Female,Group E,master's degree,Free/Reduced,Completed,39,6,91
Female,Group C,master's degree,Standard,Completed,91,78,61
Male,Group B,associate's degree,Standard,None,38,83,56
Female,Group A,bachelor's degree,Standard,None,3,3,82
Male,Group E,associate's degree,Standard,Completed,89,61,44
Male,Group E,high school,Free/Reduced,Completed,89,45,49
Male,Group D,high school,Free/Reduced,None,39,81,63
Female,Group D,master's degree,Standard,None,77,49,97
Male,Group B,some high school,Standard,Completed,37,41,86
Male,Group D,bachelor's degree,Standard,Completed,15,95,46
Female,Group E,bachelor's degree,Free/Reduced,Completed,89,25,61
Female,Group E,bachelor's degree,Free/Reduced,Completed,31,50,80
Female,Group C,high school,Standard,None,95,30,65
Male,Group A,bachelor's degree,Standard,None,13,66,92
Female,Group C,high school,Standard,None,38,88,89
Male,Group A,some college,Free/Reduced,Completed,85,70,100
Female,Group D,master's degree,Standard,Completed,54,40,10
Female,Group A,some high school,Free/Reduced,Completed,72,31,97
Male,Group B,some high school,Standard,Completed,76,63,97
Male,Group E,high school,Free/Reduced,None,91,39,100
Female,Group E,master's degree,Free/Reduced,Completed,17,50,79
Male,Group D,some college,Standard,Completed,3,5,22
Male,Group C,associate's degree,Free/Reduced,Completed,92,12,18
Female,Group C,bachelor's degree,Standard,None,79,55,23
Female,Group A,high school,Free/Reduced,Completed,96,75,76
Male,Group A,bachelor's degree,Free/Reduced,None,46,28,39
Male,Group A,master's degree,Standard,None,56,22,99
Female,Group D,master's degree,Free/Reduced,None,97,29,13
Female,Group C,some college,Standard,Completed,5,32,26
Male,Group C,bachelor's degree,Standard,Completed,78,14,61
Female,Group D,bachelor's degree,Standard,Completed,34,78,80
Male,Group C,high school,Free/Reduced,Completed,100,19,45
Male,Group B,some high school,Standard,None,30,80,65
Male,Group B,some high school,Free/Reduced,Completed,3,43,60
Female,Group B,master's degree,Standard,Completed,10,52,26
Female,Group D,associate's degree,Free/Reduced,None,79,31,43
Male,Group E,bachelor's degree,Free/Reduced,Completed,68,60,10
Male,Group A,associate's degree,Standard,Completed,19,9,73
Female,Group D,some college,Free/Reduced,Completed,99,29,35
Male,Group A,high school,Standard,Completed,14,83,32
Female,Group C,master's degree,Standard,None,0,29,34
Female,Group B,high school,Standard,Completed,26,86,65
Female,Group A,high school,Standard,Completed,12,97,40
Male,Group A,some college,Standard,Completed,66,55,32
Female,Group E,some college,Free/Reduced,Completed,97,9,98
Male,Group B,some college,Standard,None,77,71,90
Female,Group B,high school,Free/Reduced,None,24,42,55
Male,Group A,high school,Free/Reduced,Completed,99,12,21
Male,Group B,bachelor's degree,Free/Reduced,None,44,23,24
Female,Group B,some high school,Free/Reduced,Completed,100,67,34
Female,Group B,some college,Standard,Completed,22,42,44
Female,Group C,bachelor's degree,Standard,None,65,6,18
Male,Group E,some high school,Free/Reduced,Completed,81,0,32
Male,Group B,associate's degree,Free/Reduced,Completed,57,7,14
Female,Group E,high school,Free/Reduced,Completed,63,28,56
Male,Group B,master's degree,Standard,Completed,89,6,42
Male,Group C,some high school,Free/Reduced,Completed,84,29,38
Female,Group A,some college,Standard,None,94,84,87
Female,Group B,associate's degree,Free/Reduced,Completed,86,0,74
Male,Group D,bachelor's degree,Standard,Completed,75,58,77
Female,Group D,bachelor's degree,Standard,Completed,53,16,87
Female,Group D,high school,Free/Reduced,None,34,67,32
Male,Group A,high school,Free/Reduced,Completed,93,70,3
Female,Group B,high school,Free/Reduced,None,39,33,77
Male,Group A,master's degree,Standard,Completed,96,28,68
Male,Group A,master's degree,Standard,None,76,40,46
Male,Group B,bachelor's degree,Free/Reduced,Completed,8,1,23
Male,Group D,high school,Free/Reduced,None,11,68,37
Female,Group E,high school,Free/Reduced,Completed,35,20,28
Male,Group B,high school,Free/Reduced,Completed,11,44,71
Male,Group A,some high school,Free/Reduced,None,99,33,60
Male,Group B,bachelor's degree,Free/Reduced,None,8,34,19
Female,Group A,associate's degree,Free/Reduced,None,38,69,45
Female,Group C,some college,Free/Reduced,Completed,16,80,2
Male,Group D,associate's degree,Free/Reduced,Completed,47,69,52
Female,Group E,some high school,Free/Reduced,None,25,26,46
Female,Group E,bachelor's degree,Free/Reduced,None,46,95,71
Female,Group E,high school,Free/Reduced,Completed,84,47,97
Female,Group C,high school,Free/Reduced,None,33,31,38
Female,Group D,some high school,Standard,Completed,93,17,43
Female,Group E,some high school,Standard,Completed,85,46,24
Female,Group D,associate's degree,Standard,None,24,32,9
Male,Group B,some high school,Free/Reduced,Completed,97,6,98
Female,Group B,some college,Standard,Completed,1,1,46
Male,Group A,some college,Standard,Completed,17,97,40
Female,Group B,some high school,Standard,None,28,11,53
Female,Group D,some high school,Free/Reduced,Completed,83,80,30
Male,Group B,some college,Free/Reduced,Completed,34,98,39
Female,Group C,some high school,Free/Reduced,Completed,79,88,54
Female,Group B,associate's degree,Free/Reduced,Completed,56,7,71
Male,Group E,associate's degree,Free/Reduced,None,56,75,45
Female,Group E,high school,Standard,None,55,100,58
Male,Group A,master's degree,Standard,None,70,1,75
Male,Group E,some college,Standard,Completed,68,61,91
Male,Group D,bachelor's degree,Standard,Completed,57,65,33
Female,Group A,some college,Standard,Completed,88,43,56
Male,Group B,high school,Standard,None,33,89,94
Female,Group C,bachelor's degree,Standard,None,3,31,3
Male,Group C,associate's degree,Standard,Completed,57,83,29
Male,Group B,master's degree,Free/Reduced,Completed,65,51,69
Female,Group C,master's degree,Standard,Completed,71,23,73
Male,Group E,some college,Standard,None,12,36,32
Male,Group D,some high school,Free/Reduced,Completed,72,79,4
Male,Group E,associate's degree,Free/Reduced,None,43,35,75
Male,Group E,some high school,Standard,Completed,3,17,47
Female,Group B,master's degree,Free/Reduced,Completed,37,77,60
Female,Group D,bachelor's degree,Standard,Completed,31,20,38
Male,Group A,associate's degree,Free/Reduced,None,22,7,28
Female,Group A,associate's degree,Free/Reduced,None,95,71,83
Female,Group A,some high school,Free/Reduced,Completed,14,29,64
Female,Group D,some college,Free/Reduced,None,50,35,99
Female,Group B,master's degree,Free/Reduced,Completed,12,94,37
Male,Group A,associate's degree,Free/Reduced,Completed,68,46,22
Male,Group D,high school,Free/Reduced,None,75,67,13
Male,Group A,some high school,Standard,None,84,36,37
Female,Group E,associate's degree,Standard,None,77,89,12
Female,Group E,some college,Free/Reduced,None,17,85,56
Male,Group B,some college,Standard,Completed,10,80,13
Female,Group D,bachelor's degree,Standard,Completed,78,49,87
Female,Group A,high school,Free/Reduced,Completed,54,60,97
Male,Group A,associate's degree,Standard,None,99,28,39
Female,Group A,some high school,Free/Reduced,Completed,36,86,3
Male,Group C,master's degree,Standard,Completed,44,74,16
Male,Group E,bachelor's degree,Standard,Completed,36,95,51
Male,Group D,bachelor's degree,Standard,Completed,52,78,21
Female,Group D,some college,Standard,Completed,72,31,60
Male,Group D,high school,Free/Reduced,Completed,39,13,39
Female,Group E,some college,Free/Reduced,Completed,26,70,2
Female,Group D,some college,Standard,None,16,71,62
Male,Group B,high school,Free/Reduced,Completed,56,44,60
Female,Group E,some high school,Standard,None,53,32,95
Female,Group B,master's degree,Free/Reduced,Completed,74,66,26
Female,Group E,master's degree,Free/Reduced,None,97,17,92
Male,Group B,bachelor's degree,Free/Reduced,None,89,47,83
Male,Group E,associate's degree,Standard,Completed,80,37,33
Male,Group D,associate's degree,Free/Reduced,None,78,7,40
Female,Group E,high school,Standard,None,87,65,28
Male,Group B,high school,Free/Reduced,None,63,8,9
Female,Group B,bachelor's degree,Free/Reduced,Completed,20,45,21
Male,Group C,some college,Standard,Completed,47,98,99
Male,Group C,high school,Standard,None,19,19,9
Female,Group A,some college,Standard,Completed,17,75,18
Female,Group B,high school,Standard,None,47,67,86
Female,Group E,bachelor's degree,Standard,None,55,5,90
Male,Group A,high school,Standard,None,26,75,90
Male,Group B,high school,Standard,None,37,71,67
Female,Group E,some college,Standard,Completed,46,29,6
Female,Group C,some college,Standard,None,31,59,45
Male,Group B,master's degree,Free/Reduced,None,16,28,13
Male,Group E,some high school,Free/Reduced,None,10,61,84
Female,Group D,some college,Standard,None,55,41,91
Male,Group A,bachelor's degree,Standard,Completed,27,70,14
Female,Group B,high school,Free/Reduced,None,43,65,9
Male,Group A,bachelor's degree,Free/Reduced,None,63,26,78
Female,Group E,some high school,Standard,Completed,55,0,30
Male,Group D,bachelor's degree,Free/Reduced,Completed,1,47,0
Female,Group D,master's degree,Free/Reduced,Completed,69,75,11
Male,Group A,bachelor's degree,Free/Reduced,None,61,99,36
Female,Group C,high school,Standard,None,57,90,51
Female,Group B,bachelor's degree,Standard,None,27,34,44
Female,Group C,high school,Standard,None,31,88,57
Male,Group C,master's degree,Standard,Completed,51,17,90
Female,Group A,bachelor's degree,Standard,None,63,82,58
Female,Group B,high school,Standard,Completed,57,96,95
Male,Group B,some high school,Standard,None,75,55,51
Male,Group E,associate's degree,Free/Reduced,Completed,73,27,45
Female,Group D,some high school,Free/Reduced,Completed,83,13,84
Male,Group C,associate's degree,Standard,Completed,67,20,8
Male,Group D,some college,Standard,Completed,35,39,88
Male,Group A,bachelor's degree,Free/Reduced,Completed,42,87,28
Female,Group D,bachelor's degree,Free/Reduced,None,54,91,20
Female,Group A,high school,Free/Reduced,None,93,2,25
Male,Group C,associate's degree,Standard,None,20,100,90
Female,Group B,associate's degree,Free/Reduced,Completed,38,78,21
Female,Group D,high school,Standard,None,98,90,36
Female,Group B,some college,Free/Reduced,Completed,86,73,39
Male,Group A,associate's degree,Free/Reduced,Completed,69,42,61
Female,Group E,master's degree,Free/Reduced,None,87,41,76
Female,Group E,high school,Free/Reduced,Completed,91,49,31
Female,Group B,associate's degree,Free/Reduced,Completed,69,8,83
Male,Group E,associate's degree,Standard,Completed,18,36,23
Female,Group A,master's degree,Standard,Completed,34,27,91
Male,Group B,master's degree,Free/Reduced,None,63,7,64
Male,Group E,master's degree,Free/Reduced,None,96,54,64
Male,Group D,master's degree,Free/Reduced,None,45,5,99
Female,Group E,bachelor's degree,Standard,None,65,50,19
Female,Group D,high school,Free/Reduced,None,12,38,41
Male,Group B,master's degree,Standard,None,53,95,40
Male,Group D,high school,Standard,Completed,91,70,27
Male,Group E,some college,Free/Reduced,Completed,71,45,83
Male,Group A,master's degree,Standard,None,18,100,98
Female,Group A,some high school,Standard,None,92,48,40
Male,Group C,high school,Free/Reduced,Completed,93,96,31
Male,Group A,associate's degree,Standard,Completed,70,35,74
Female,Group D,high school,Standard,Completed,74,61,67
Female,Group B,associate's degree,Standard,None,84,44,36
Male,Group C,associate's degree,Free/Reduced,None,95,68,31
Male,Group B,some high school,Free/Reduced,None,63,23,75
Female,Group C,associate's degree,Standard,None,86,89,64
Male,Group C,some high school,Standard,Completed,94,100,45
Male,Group B,associate's degree,Standard,Completed,90,70,52
Female,Group B,high school,Free/Reduced,None,16,10,88
Female,Group A,high school,Free/Reduced,Completed,32,25,22
Female,Group C,associate's degree,Free/Reduced,None,58,92,77
Female,Group D,master's degree,Standard,None,14,41,10
Male,Group D,some college,Free/Reduced,Completed,10,9,27
Male,Group D,some high school,Standard,None,26,53,39
Female,Group A,master's degree,Standard,Completed,11,90,83
Male,Group B,some high school,Free/Reduced,None,64,55,20
Female,Group D,some college,Free/Reduced,None,11,16,0
Male,Group E,some high school,Standard,Completed,30,20,78
Female,Group A,master's degree,Free/Reduced,Completed,35,87,4
Female,Group D,some college,Standard,Completed,24,7,64
Male,Group A,some high school,Standard,Completed,13,13,88
Female,Group E,some high school,Free/Reduced,None,62,53,50
Female,Group C,associate's degree,Standard,None,66,85,98
Male,Group C,some high school,Standard,Completed,17,84,18
Male,Group B,some college,Free/Reduced,None,73,34,13
Female,Group B,high school,Free/Reduced,None,48,15,56
Female,Group D,bachelor's degree,Free/Reduced,Completed,69,40,47
Female,Group C,high school,Free/Reduced,Completed,79,100,58
Female,Group E,master's degree,Free/Reduced,None,23,72,81
Male,Group C,some high school,Free/Reduced,None,36,71,17
Male,Group E,some college,Standard,None,89,14,40
Female,Group D,master's degree,Free/Reduced,None,26,61,33
Female,Group C,master's degree,Standard,Completed,28,50,48
Male,Group A,some high school,Standard,Completed,49,61,22
Female,Group D,some high school,Standard,Completed,45,60,9
Male,Group C,high school,Standard,None,84,7,16
Female,Group D,associate's degree,Standard,Completed,62,77,28
Female,Group D,some high school,Free/Reduced,Completed,22,67,65
Male,Group A,high school,Standard,Completed,67,60,7
Male,Group B,bachelor's degree,Standard,Completed,70,82,68
Female,Group A,bachelor's degree,Standard,None,32,95,58
Male,Group D,bachelor's degree,Free/Reduced,Completed,45,63,0
Female,Group C,bachelor's degree,Standard,Completed,13,20,94
Male,Group E,master's degree,Standard,Completed,19,52,87
Female,Group A,master's degree,Free/Reduced,None,99,92,52
Female,Group D,bachelor's degree,Free/Reduced,None,44,84,55
Female,Group A,master's degree,Standard,Completed,15,81,94
Male,Group A,associate's degree,Free/Reduced,None,61,77,32
Male,Group E,master's degree,Free/Reduced,None,18,65,32
Female,Group A,some high school,Free/Reduced,Completed,6,88,4
Male,Group C,master's degree,Free/Reduced,None,73,41,18
